scenario,age,v.eff,risk,pop.size,cost.diff,cases,cases.per100k,cases.averted,cases.averted.per100k,icer.case.averted,deaths,deaths.per100k,deaths.averted,deaths.averted.per100k,icer.death.averted,dalys,dalys.per100k,dalys.averted,dalys.averted.per100k,icer.daly.averted
vaxbase,0-4 yrs,40,All,223608,,,,,,,,,,,,,,,,
vaxbase,5-19 yrs,40,High,40938.3,,,,,,,,,,,,,,,,
vaxbase,5-19 yrs,40,Non-high,598722.7,,,,,,,,,,,,,,,,
vaxbase,5-19 yrs,40,All,639661,,,,,,,,,,,,,,,,
vaxbase,20-64 yrs,40,High,321847.06,,,,,,,,,,,,,,,,
vaxbase,20-64 yrs,40,Non-high,1913201.94,,,,,,,,,,,,,,,,
vaxbase,20-64 yrs,40,All,2235049,,,,,,,,,,,,,,,,
vaxbase,65+ yrs,40,High,157981.7,,,,,,,,,,,,,,,,
vaxbase,65+ yrs,40,Non-high,150576.3,,,,,,,,,,,,,,,,
vaxbase,65+ yrs,40,All,308558,,,,,,,,,,,,,,,,
vaxbase,All,40,High,535077.97,,,,,,,,,,,,,,,,
vaxbase,All,40,Non-high,2871798.03,,,,,,,,,,,,,,,,
vaxbase,All,40,All,3406876,,,,,,,,,,,,,,,,
vaxbase,0-4 yrs,50,High,14310.91,,,,,,,,,,,,,,,,
vaxbase,0-4 yrs,50,Non-high,209297.09,,,,,,,,,,,,,,,,
vaxbase,0-4 yrs,50,All,223608,,,,,,,,,,,,,,,,
vaxbase,5-19 yrs,50,High,40938.3,,,,,,,,,,,,,,,,
vaxbase,5-19 yrs,50,Non-high,598722.7,,,,,,,,,,,,,,,,
vaxbase,5-19 yrs,50,All,639661,,,,,,,,,,,,,,,,
vaxbase,20-64 yrs,50,High,321847.06,,,,,,,,,,,,,,,,
vaxbase,20-64 yrs,50,Non-high,1913201.94,,,,,,,,,,,,,,,,
vaxbase,20-64 yrs,50,All,2235049,,,,,,,,,,,,,,,,
vaxbase,65+ yrs,50,High,157981.7,,,,,,,,,,,,,,,,
vaxbase,65+ yrs,50,Non-high,150576.3,,,,,,,,,,,,,,,,
vaxbase,65+ yrs,50,All,308558,,,,,,,,,,,,,,,,
vaxbase,All,50,High,535077.97,,,,,,,,,,,,,,,,
vaxbase,All,50,Non-high,2871798.03,,,,,,,,,,,,,,,,
vaxbase,All,50,All,3406876,,,,,,,,,,,,,,,,
vaxbase,0-4 yrs,60,High,14310.91,,,,,,,,,,,,,,,,
vaxbase,0-4 yrs,60,Non-high,209297.09,,,,,,,,,,,,,,,,
vaxbase,0-4 yrs,60,All,223608,,,,,,,,,,,,,,,,
vaxbase,5-19 yrs,60,High,40938.3,,,,,,,,,,,,,,,,
vaxbase,5-19 yrs,60,Non-high,598722.7,,,,,,,,,,,,,,,,
vaxbase,5-19 yrs,60,All,639661,,,,,,,,,,,,,,,,
vaxbase,20-64 yrs,60,High,321847.06,,,,,,,,,,,,,,,,
vaxbase,20-64 yrs,60,Non-high,1913201.94,,,,,,,,,,,,,,,,
vaxbase,20-64 yrs,60,All,2235049,,,,,,,,,,,,,,,,
vaxbase,65+ yrs,60,High,157981.7,,,,,,,,,,,,,,,,
vaxbase,65+ yrs,60,Non-high,150576.3,,,,,,,,,,,,,,,,
vaxbase,65+ yrs,60,All,308558,,,,,,,,,,,,,,,,
vaxbase,All,60,High,535077.97,,,,,,,,,,,,,,,,
vaxbase,All,60,Non-high,2871798.03,,,,,,,,,,,,,,,,
vaxbase,All,60,All,3406876,,,,,,,,,,,,,,,,
vax70,0-4 yrs,10,High,14310.91,,,,,,,,,,,,,,,,
vax70,0-4 yrs,10,Non-high,209297.09,,,,,,,,,,,,,,,,
vax70,0-4 yrs,10,All,223608,,,,,,,,,,,,,,,,
vax70,5-19 yrs,10,High,40938.3,,,,,,,,,,,,,,,,
vax70,5-19 yrs,10,Non-high,598722.7,,,,,,,,,,,,,,,,
vax70,5-19 yrs,10,All,639661,,,,,,,,,,,,,,,,
vax70,20-64 yrs,10,High,321847.06,,,,,,,,,,,,,,,,
vax70,20-64 yrs,10,Non-high,1913201.94,,,,,,,,,,,,,,,,
vax70,20-64 yrs,10,All,2235049,,,,,,,,,,,,,,,,
vax70,65+ yrs,10,High,157981.7,,,,,,,,,,,,,,,,
vax70,65+ yrs,10,Non-high,150576.3,,,,,,,,,,,,,,,,
vax70,65+ yrs,10,All,308558,,,,,,,,,,,,,,,,
vax70,All,10,High,535077.97,,,,,,,,,,,,,,,,
vax70,All,10,Non-high,2871798.03,,,,,,,,,,,,,,,,
vax70,All,10,All,3406876,,,,,,,,,,,,,,,,
vax70,0-4 yrs,20,High,14310.91,,,,,,,,,,,,,,,,
vax70,0-4 yrs,20,Non-high,209297.09,,,,,,,,,,,,,,,,
vax70,0-4 yrs,20,All,223608,,,,,,,,,,,,,,,,
vax70,5-19 yrs,20,High,40938.3,,,,,,,,,,,,,,,,
vax70,5-19 yrs,20,Non-high,598722.7,,,,,,,,,,,,,,,,
vax70,5-19 yrs,20,All,639661,,,,,,,,,,,,,,,,
vax70,20-64 yrs,20,High,321847.06,,,,,,,,,,,,,,,,
vax70,20-64 yrs,20,Non-high,1913201.94,,,,,,,,,,,,,,,,
vax70,20-64 yrs,20,All,2235049,,,,,,,,,,,,,,,,
vax70,65+ yrs,20,High,157981.7,,,,,,,,,,,,,,,,
vax70,65+ yrs,20,Non-high,150576.3,,,,,,,,,,,,,,,,
vax70,65+ yrs,20,All,308558,,,,,,,,,,,,,,,,
vax70,All,20,High,535077.97,,,,,,,,,,,,,,,,
vax70,All,20,Non-high,2871798.03,,,,,,,,,,,,,,,,
vax70,All,20,All,3406876,,,,,,,,,,,,,,,,
vax70,0-4 yrs,30,High,14310.91,,,,,,,,,,,,,,,,
vax70,0-4 yrs,30,Non-high,209297.09,,,,,,,,,,,,,,,,
vax70,0-4 yrs,30,All,223608,,,,,,,,,,,,,,,,
vax70,5-19 yrs,30,High,40938.3,,,,,,,,,,,,,,,,
vax70,5-19 yrs,30,Non-high,598722.7,,,,,,,,,,,,,,,,
vax70,5-19 yrs,30,All,639661,,,,,,,,,,,,,,,,
vax70,20-64 yrs,30,High,321847.06,,,,,,,,,,,,,,,,
vax70,20-64 yrs,30,Non-high,1913201.94,,,,,,,,,,,,,,,,
vax70,20-64 yrs,30,All,2235049,,,,,,,,,,,,,,,,
vax70,65+ yrs,30,High,157981.7,,,,,,,,,,,,,,,,
vax70,65+ yrs,30,Non-high,150576.3,,,,,,,,,,,,,,,,
vax70,65+ yrs,30,All,308558,,,,,,,,,,,,,,,,
vax70,All,30,High,535077.97,,,,,,,,,,,,,,,,
vax70,All,30,Non-high,2871798.03,,,,,,,,,,,,,,,,
vax70,All,30,All,3406876,,,,,,,,,,,,,,,,
vax70,0-4 yrs,40,High,14310.91,,,,,,,,,,,,,,,,
vax70,0-4 yrs,40,Non-high,209297.09,,,,,,,,,,,,,,,,
vax70,0-4 yrs,40,All,223608,,,,,,,,,,,,,,,,
vax70,5-19 yrs,40,High,40938.3,,,,,,,,,,,,,,,,
vax70,5-19 yrs,40,Non-high,598722.7,,,,,,,,,,,,,,,,
vax70,5-19 yrs,40,All,639661,,,,,,,,,,,,,,,,
vax70,20-64 yrs,40,High,321847.06,,,,,,,,,,,,,,,,
vax70,20-64 yrs,40,Non-high,1913201.94,,,,,,,,,,,,,,,,
vax70,20-64 yrs,40,All,2235049,,,,,,,,,,,,,,,,
vax70,65+ yrs,40,High,157981.7,,,,,,,,,,,,,,,,
vax70,65+ yrs,40,Non-high,150576.3,,,,,,,,,,,,,,,,
vax70,65+ yrs,40,All,308558,,,,,,,,,,,,,,,,
vax70,All,40,High,535077.97,,,,,,,,,,,,,,,,
vax70,All,40,Non-high,2871798.03,,,,,,,,,,,,,,,,
vax70,All,40,All,3406876,,,,,,,,,,,,,,,,
vax70,0-4 yrs,50,High,14310.91,,,,,,,,,,,,,,,,
vax70,0-4 yrs,50,Non-high,209297.09,,,,,,,,,,,,,,,,
vax70,0-4 yrs,50,All,223608,,,,,,,,,,,,,,,,
vax70,5-19 yrs,50,High,40938.3,,,,,,,,,,,,,,,,
vax70,5-19 yrs,50,Non-high,598722.7,,,,,,,,,,,,,,,,
vax70,5-19 yrs,50,All,639661,,,,,,,,,,,,,,,,
vax70,20-64 yrs,50,High,321847.06,,,,,,,,,,,,,,,,
vax70,20-64 yrs,50,Non-high,1913201.94,,,,,,,,,,,,,,,,
vax70,20-64 yrs,50,All,2235049,,,,,,,,,,,,,,,,
vax70,65+ yrs,50,High,157981.7,,,,,,,,,,,,,,,,
vax70,65+ yrs,50,Non-high,150576.3,,,,,,,,,,,,,,,,
vax70,65+ yrs,50,All,308558,,,,,,,,,,,,,,,,
vax70,All,50,High,535077.97,,,,,,,,,,,,,,,,
vax70,All,50,Non-high,2871798.03,,,,,,,,,,,,,,,,
vax70,All,50,All,3406876,,,,,,,,,,,,,,,,
vax70,0-4 yrs,60,High,14310.91,,,,,,,,,,,,,,,,
vax70,0-4 yrs,60,Non-high,209297.09,,,,,,,,,,,,,,,,
vax70,0-4 yrs,60,All,223608,,,,,,,,,,,,,,,,
vax70,5-19 yrs,60,High,40938.3,,,,,,,,,,,,,,,,
vax70,5-19 yrs,60,Non-high,598722.7,,,,,,,,,,,,,,,,
vax70,5-19 yrs,60,All,639661,,,,,,,,,,,,,,,,
vax70,20-64 yrs,60,High,321847.06,,,,,,,,,,,,,,,,
vax70,20-64 yrs,60,Non-high,1913201.94,,,,,,,,,,,,,,,,
vax70,20-64 yrs,60,All,2235049,,,,,,,,,,,,,,,,
vax70,65+ yrs,60,High,157981.7,,,,,,,,,,,,,,,,
vax70,65+ yrs,60,Non-high,150576.3,,,,,,,,,,,,,,,,
vax70,65+ yrs,60,All,308558,,,,,,,,,,,,,,,,
vax70,All,60,High,535077.97,,,,,,,,,,,,,,,,
vax70,All,60,Non-high,2871798.03,,,,,,,,,,,,,,,,
vax70,All,60,All,3406876,,,,,,,,,,,,,,,,
